# RA DEC
7.572290700000000641e+01 -6.081124899999999656e+01
7.600687100000000385e+01 -4.948541099999999915e+01
7.636806900000000553e+01 -4.208112100000000311e+01
7.639660700000000304e+01 -6.175047800000000109e+01
7.716370399999999563e+01 -6.181879899999999850e+01
7.733738800000000424e+01 -5.370532299999999992e+01
7.747413500000000397e+01 -6.130670700000000295e+01
7.758053900000000169e+01 -4.532698899999999753e+01
7.792091700000000287e+01 -5.190437200000000217e+01
7.815869399999999700e+01 -5.166214399999999785e+01
7.908606299999999578e+01 -6.320832000000000050e+01
7.915128400000000397e+01 -5.451083100000000314e+01
7.923975400000000491e+01 -5.791668800000000061e+01
7.928438599999999781e+01 -6.131806499999999716e+01
7.940936200000000156e+01 -6.319885000000000019e+01
7.985353999999999530e+01 -4.280664099999999905e+01
8.030118899999999371e+01 -5.107656300000000016e+01
8.051587000000000671e+01 -5.043938399999999689e+01
8.056665200000000482e+01 -4.830250999999999806e+01
8.120911399999999958e+01 -4.062378799999999757e+01
8.145548200000000350e+01 -4.725561100000000181e+01
8.150866000000000611e+01 -5.031465899999999891e+01
8.201959100000000547e+01 -5.300238600000000133e+01
8.206097499999999911e+01 -4.429221700000000084e+01
8.234929200000000549e+01 -6.085778599999999727e+01
8.247321100000000627e+01 -5.337406000000000006e+01
8.248574000000000694e+01 -4.163645000000000351e+01
8.267539899999999875e+01 -4.165020200000000017e+01
8.303072000000000230e+01 -5.484450300000000311e+01
8.340088199999999574e+01 -5.009008000000000038e+01
8.360821599999999876e+01 -5.962565200000000232e+01
8.366545999999999594e+01 -4.879645899999999870e+01
8.379341100000000608e+01 -5.993939900000000165e+01
8.394641099999999767e+01 -4.802294200000000046e+01
8.416304399999999930e+01 -6.115430800000000033e+01
8.435482500000000528e+01 -6.506953500000000190e+01
8.495610399999999629e+01 -6.022724099999999936e+01
8.500426799999999616e+01 -5.774052300000000315e+01
8.571666700000000105e+01 -4.100444300000000197e+01
8.575637100000000146e+01 -6.232520499999999686e+01
8.594474499999999750e+01 -4.283789199999999653e+01
8.624558000000000391e+01 -3.984526400000000024e+01
8.649566500000000246e+01 -5.088138899999999865e+01
8.655130900000000338e+01 -4.788190099999999916e+01
8.659738400000000524e+01 -3.986870400000000103e+01
8.665251800000000060e+01 -5.376246499999999884e+01
8.673421899999999596e+01 -6.067226099999999889e+01
8.677815300000000320e+01 -5.044003000000000014e+01
8.724193699999999296e+01 -4.368191499999999650e+01
8.733436899999999525e+01 -6.208576399999999751e+01
8.755036900000000344e+01 -5.032357600000000275e+01
8.768253199999999481e+01 -6.397456900000000246e+01
8.786151599999999462e+01 -4.967363199999999779e+01
8.787975199999999631e+01 -4.365956400000000315e+01
8.790414400000000228e+01 -5.715565800000000252e+01
8.817831400000000031e+01 -4.962084500000000276e+01
8.886619100000000060e+01 -6.410319499999999948e+01
8.920255600000000129e+01 -5.406093500000000063e+01
8.933846400000000187e+01 -5.126948699999999803e+01
8.945567400000000191e+01 -4.123103900000000266e+01
8.992509800000000553e+01 -5.282602899999999835e+01
8.994193900000000497e+01 -6.038324399999999770e+01
9.003478400000000192e+01 -4.107012600000000191e+01
9.006144000000000460e+01 -4.388790600000000097e+01
9.025147200000000680e+01 -5.207965399999999789e+01
9.049881799999999998e+01 -4.136990999999999730e+01
9.098830399999999941e+01 -4.723789200000000221e+01
9.100069999999999482e+01 -4.328529699999999991e+01
9.101145999999999958e+01 -4.174445200000000256e+01
9.189840800000000343e+01 -4.480332899999999796e+01
9.277937699999999666e+01 -6.000867199999999713e+01
9.280681800000000692e+01 -5.964122799999999813e+01
9.292115400000000136e+01 -4.741111300000000028e+01
9.302485799999999472e+01 -4.329921900000000079e+01
9.345576800000000617e+01 -5.645969000000000193e+01
9.396498900000000276e+01 -5.777627300000000332e+01
9.406848700000000463e+01 -4.412226199999999920e+01
9.428079200000000526e+01 -5.513207700000000244e+01
9.492208599999999308e+01 -5.803823299999999819e+01
9.509653000000000134e+01 -4.725914900000000074e+01
9.571039000000000385e+01 -4.676579100000000011e+01
9.587540400000000318e+01 -5.059979700000000236e+01
9.626514000000000237e+01 -6.358924199999999871e+01
9.643412399999999707e+01 -4.748186499999999910e+01
9.643823399999999424e+01 -4.350028100000000109e+01
9.674111200000000110e+01 -4.477483800000000258e+01
9.720488100000000031e+01 -4.172503700000000038e+01
9.756403299999999490e+01 -4.536652999999999736e+01
9.836226899999999773e+01 -4.890014399999999739e+01
9.840838700000000472e+01 -4.422323899999999952e+01
9.916856300000000601e+01 -4.970339400000000296e+01
9.925998500000000035e+01 -6.120640300000000167e+01
9.927737399999999468e+01 -4.345125800000000282e+01
9.934668000000000632e+01 -4.848769399999999763e+01
9.943679699999999855e+01 -4.784154300000000148e+01
9.957046900000000278e+01 -4.271828599999999909e+01
9.969776600000000144e+01 -5.397486599999999868e+01
1.000645200000000017e+02 -5.122044999999999959e+01
1.002894799999999975e+02 -4.756566399999999817e+01
1.003788200000000046e+02 -5.984899999999999665e+01
1.004587199999999996e+02 -5.001714900000000341e+01
1.006961000000000013e+02 -6.317495999999999867e+01
1.009332399999999978e+02 -4.559779799999999739e+01
1.009549700000000030e+02 -5.094864599999999655e+01
1.013734900000000039e+02 -5.422137200000000234e+01
1.016390600000000006e+02 -6.261359499999999656e+01
1.019843400000000031e+02 -5.848013999999999868e+01
1.021254399999999976e+02 -4.637535400000000152e+01
1.024473399999999970e+02 -4.516850500000000324e+01
1.026814899999999966e+02 -4.506413299999999822e+01
1.028193100000000015e+02 -4.062730100000000277e+01
1.031063400000000030e+02 -4.156510500000000263e+01
1.033315999999999946e+02 -5.774895500000000226e+01
1.037630400000000037e+02 -4.448371699999999862e+01
1.037824200000000019e+02 -4.159564000000000306e+01
1.039137199999999979e+02 -5.569312699999999694e+01
1.039625999999999948e+02 -5.256774300000000011e+01
1.045207500000000067e+02 -4.602744599999999764e+01
1.046316699999999997e+02 -5.594654400000000294e+01
1.047763499999999937e+02 -5.301142999999999716e+01
3.013390999999999735e+02 -5.658962999999999965e+01
3.016622399999999971e+02 -5.343025699999999745e+01
3.024260199999999941e+02 -5.794880700000000218e+01
3.024496199999999817e+02 -4.531159900000000107e+01
3.027775899999999751e+02 -5.367255300000000062e+01
3.027786199999999894e+02 -5.247247800000000240e+01
3.028527399999999830e+02 -5.742169700000000176e+01
3.029657599999999888e+02 -4.900268100000000260e+01
3.030007800000000202e+02 -4.150112299999999976e+01
3.031127999999999929e+02 -5.682977100000000092e+01
3.034943599999999719e+02 -5.454408699999999754e+01
3.039840699999999742e+02 -5.507249300000000147e+01
3.040049900000000207e+02 -4.529776100000000127e+01
3.040128500000000145e+02 -4.991437100000000271e+01
3.044835600000000113e+02 -6.297821799999999826e+01
3.047697800000000257e+02 -5.671005699999999905e+01
